token,col_freq,total_freq,MI_1
10:29,1,1,11.080491574763498
38th,1,1,11.080491574763498
allocations,1,1,11.080491574763498
americanizing,1,1,11.080491574763498
anthedon,1,1,11.080491574763498
assignats,1,1,11.080491574763498
bamboozling,1,1,11.080491574763498
baser,1,1,11.080491574763498
borrowers,1,1,11.080491574763498
bridegrooms,1,1,11.080491574763498
bureaus,1,1,11.080491574763498
cascades,1,1,11.080491574763498
coiuld,1,1,11.080491574763498
dealerships,2,2,11.080491574763498
denouement,1,1,11.080491574763498
diplomas,1,1,11.080491574763498
drafty,1,1,11.080491574763498
funerals,1,1,11.080491574763498
gloworm,1,1,11.080491574763498
griped,1,1,11.080491574763498
henceforth,1,1,11.080491574763498
hurwitz,1,1,11.080491574763498
illegaly,1,1,11.080491574763498
int'l,1,1,11.080491574763498
invests,1,1,11.080491574763498
irredeemable,1,1,11.080491574763498
loafing,2,2,11.080491574763498
loot,1,1,11.080491574763498
misappropriated,2,2,11.080491574763498
misrepresenting,1,1,11.080491574763498
pastport,1,1,11.080491574763498
paychecks,1,1,11.080491574763498
pettitions,1,1,11.080491574763498
pharma,1,1,11.080491574763498
pocked,1,1,11.080491574763498
powerfull,1,1,11.080491574763498
psy.d,1,1,11.080491574763498
quashed,1,1,11.080491574763498
realty,1,1,11.080491574763498
redlined,1,1,11.080491574763498
skein,1,1,11.080491574763498
specie,1,1,11.080491574763498
steers,1,1,11.080491574763498
tempers,1,1,11.080491574763498
truckloads,1,1,11.080491574763498
vorrhees,1,1,11.080491574763498
warmly,1,1,11.080491574763498
warrenlike,1,1,11.080491574763498
zum,1,1,11.080491574763498
taxed,3,4,10.665454075484654
deregulating,2,3,10.495529074042341
marsyas,2,3,10.495529074042341
mustang,2,3,10.495529074042341
achievers,1,2,10.080491574763498
binds,1,2,10.080491574763498
biz,1,2,10.080491574763498
britta,1,2,10.080491574763498
bruces,1,2,10.080491574763498
chesholm,1,2,10.080491574763498
coaxing,1,2,10.080491574763498
crib,1,2,10.080491574763498
cupboards,1,2,10.080491574763498
deficits,2,4,10.080491574763498
doles,1,2,10.080491574763498
enlarge,1,2,10.080491574763498
extort,1,2,10.080491574763498
fluctuates,1,2,10.080491574763498
foreclosure,1,2,10.080491574763498
genomic,1,2,10.080491574763498
hoard,1,2,10.080491574763498
invents,1,2,10.080491574763498
isr,1,2,10.080491574763498
landlord,1,2,10.080491574763498
loaned,1,2,10.080491574763498
loomis,1,2,10.080491574763498
lsbrx,1,2,10.080491574763498
lubricate,1,2,10.080491574763498
marketplaces,1,2,10.080491574763498
midterm,1,2,10.080491574763498
nonprofits,1,2,10.080491574763498
oops,1,2,10.080491574763498
organizational,1,2,10.080491574763498
pid,1,2,10.080491574763498
pimlico,1,2,10.080491574763498
preserves,1,2,10.080491574763498
pretenses,1,2,10.080491574763498
rowney,1,2,10.080491574763498
sayles,1,2,10.080491574763498
stains,1,2,10.080491574763498
sums,3,6,10.080491574763498
supermarket,1,2,10.080491574763498
swap,1,2,10.080491574763498
symbolized,1,2,10.080491574763498
tarp,1,2,10.080491574763498
woodlawn,1,2,10.080491574763498
zealous,1,2,10.080491574763498
connor,2,5,9.758563479876136
cuz,2,5,9.758563479876136
knowingly,2,5,9.758563479876136
accrue,1,3,9.495529074042341
awash,1,3,9.495529074042341
beneficiaries,2,6,9.495529074042341
bolster,1,3,9.495529074042341
comfortably,2,6,9.495529074042341
coupon,1,3,9.495529074042341
donating,1,3,9.495529074042341
draper,1,3,9.495529074042341
equate,1,3,9.495529074042341
expansive,1,3,9.495529074042341
gardeners,1,3,9.495529074042341
locating,1,3,9.495529074042341
logistical,1,3,9.495529074042341
middlemen,1,3,9.495529074042341
monopoly,1,3,9.495529074042341
nj,1,3,9.495529074042341
pits,1,3,9.495529074042341
playin,1,3,9.495529074042341
reinforcing,1,3,9.495529074042341
repaying,1,3,9.495529074042341
serfs,1,3,9.495529074042341
souvenirs,2,6,9.495529074042341
spacious,1,3,9.495529074042341
stagnant,1,3,9.495529074042341
treasured,1,3,9.495529074042341
unstated,1,3,9.495529074042341
venue,1,3,9.495529074042341
marketplace,2,7,9.273136652705894
airplanes,1,4,9.080491574763498
beggars,1,4,9.080491574763498
borrow,3,12,9.080491574763498
dimes,1,4,9.080491574763498
disproportionately,1,4,9.080491574763498
dorothy,1,4,9.080491574763498
dunbar,1,4,9.080491574763498
eu,1,4,9.080491574763498
evangelical,1,4,9.080491574763498
feds,1,4,9.080491574763498
hugely,1,4,9.080491574763498
impoverished,1,4,9.080491574763498
indefinitely,1,4,9.080491574763498
motive,2,8,9.080491574763498
ostrich,1,4,9.080491574763498
preachers,1,4,9.080491574763498
prevents,1,4,9.080491574763498
referencing,1,4,9.080491574763498
robbins,1,4,9.080491574763498
sensei,1,4,9.080491574763498
switches,1,4,9.080491574763498
wisely,1,4,9.080491574763498
owe,5,21,9.0101022468721
etf,2,9,8.910566573321185
stamp,2,9,8.910566573321185
8:30,1,5,8.758563479876136
ale,1,5,8.758563479876136
blend,1,5,8.758563479876136
charlatans,1,5,8.758563479876136
coma,1,5,8.758563479876136
dealings,1,5,8.758563479876136
fray,1,5,8.758563479876136
halls,1,5,8.758563479876136
handing,1,5,8.758563479876136
kenny,1,5,8.758563479876136
limiting,2,10,8.758563479876136
receipt,1,5,8.758563479876136
scraped,1,5,8.758563479876136
sonny,1,5,8.758563479876136
suing,1,5,8.758563479876136
telemarketers,1,5,8.758563479876136
tighter,1,5,8.758563479876136
utilization,1,5,8.758563479876136
volunteered,1,5,8.758563479876136
6th,1,6,8.495529074042341
ap,1,6,8.495529074042341
arlen,1,6,8.495529074042341
auburn,1,6,8.495529074042341
booze,1,6,8.495529074042341
charmed,1,6,8.495529074042341
cos,1,6,8.495529074042341
doubtless,1,6,8.495529074042341
emphasizes,1,6,8.495529074042341
extracted,1,6,8.495529074042341
fountain,1,6,8.495529074042341
goodies,1,6,8.495529074042341
hedge,1,6,8.495529074042341
hoo,1,6,8.495529074042341
isolate,1,6,8.495529074042341
keyboard,1,6,8.495529074042341
lend,2,12,8.495529074042341
obligations,1,6,8.495529074042341
poker,1,6,8.495529074042341
shes,1,6,8.495529074042341
soaked,1,6,8.495529074042341
subsidized,1,6,8.495529074042341
switzerland,1,6,8.495529074042341
nba,2,13,8.380051856622405
soglin,2,13,8.380051856622405
accumulation,1,7,8.273136652705894
aspen,1,7,8.273136652705894
bazaar,1,7,8.273136652705894
billie,1,7,8.273136652705894
biting,1,7,8.273136652705894
boo,1,7,8.273136652705894
bury,1,7,8.273136652705894
casino,1,7,8.273136652705894
denise,1,7,8.273136652705894
disposable,1,7,8.273136652705894
flights,1,7,8.273136652705894
franchises,1,7,8.273136652705894
hazard,1,7,8.273136652705894
homer,1,7,8.273136652705894
invested,2,14,8.273136652705894
ivy,1,7,8.273136652705894
juvenile,1,7,8.273136652705894
losers,1,7,8.273136652705894
motherfucker,1,7,8.273136652705894
nanos,1,7,8.273136652705894
obliged,1,7,8.273136652705894
pouring,1,7,8.273136652705894
resembles,1,7,8.273136652705894
translation,1,7,8.273136652705894
vault,1,7,8.273136652705894
wandered,1,7,8.273136652705894
reward,3,22,8.206022456847357
prisoners,2,15,8.17360097915498
raise,10,79,8.098638921473757
bailout,1,8,8.080491574763498
cantor,1,8,8.080491574763498
complexity,1,8,8.080491574763498
detective,2,16,8.080491574763498
fauci,1,8,8.080491574763498
goin,1,8,8.080491574763498
hampshire,1,8,8.080491574763498
insecure,1,8,8.080491574763498
landowners,1,8,8.080491574763498
lent,1,8,8.080491574763498
obtaining,1,8,8.080491574763498
panelist,1,8,8.080491574763498
picnic,1,8,8.080491574763498
pit,1,8,8.080491574763498
pops,1,8,8.080491574763498
sour,1,8,8.080491574763498
systematically,1,8,8.080491574763498
tangled,1,8,8.080491574763498
traced,1,8,8.080491574763498
transactions,1,8,8.080491574763498
velocity,1,8,8.080491574763498
theres,2,17,7.9930287335131585
bears,1,9,7.910566573321185
collaboration,1,9,7.910566573321185
concerts,1,9,7.910566573321185
incumbent,1,9,7.910566573321185
rebound,1,9,7.910566573321185
tool,4,38,7.8325640613199115
donations,1,10,7.758563479876135
