token,col_freq,total_freq,MI_1
decleat,2,1,10.135472998533363
poignantly,2,1,10.135472998533363
16a,1,1,9.135472998533363
17a,1,1,9.135472998533363
21h,1,1,9.135472998533363
aba,1,1,9.135472998533363
ablution,1,1,9.135472998533363
abnegate,1,1,9.135472998533363
admonitions,1,1,9.135472998533363
aguada,1,1,9.135472998533363
aharon,1,1,9.135472998533363
al'kulab,1,1,9.135472998533363
amplifed,1,1,9.135472998533363
astronomical,1,1,9.135472998533363
authorth,1,1,9.135472998533363
basking,1,1,9.135472998533363
beacomed,1,1,9.135472998533363
bellows,1,1,9.135472998533363
bemuse,1,1,9.135472998533363
bestsellers,1,1,9.135472998533363
biding,1,1,9.135472998533363
blither,1,1,9.135472998533363
bloomed,1,1,9.135472998533363
blowers,1,1,9.135472998533363
bo/romney,1,1,9.135472998533363
bolshevik,1,1,9.135472998533363
booklets,1,1,9.135472998533363
breading,1,1,9.135472998533363
budgeting,1,1,9.135472998533363
cablevision,1,1,9.135472998533363
calmer/quieter/less,1,1,9.135472998533363
carcinogen,1,1,9.135472998533363
cede,1,1,9.135472998533363
chow,1,1,9.135472998533363
cityscape,1,1,9.135472998533363
cloister,1,1,9.135472998533363
cloved,1,1,9.135472998533363
codecademy.org,1,1,9.135472998533363
colossally,1,1,9.135472998533363
compendium,1,1,9.135472998533363
comrade,1,1,9.135472998533363
conspiracies,1,1,9.135472998533363
convent,1,1,9.135472998533363
cos(2px/l,1,1,9.135472998533363
courant,1,1,9.135472998533363
dabbling,1,1,9.135472998533363
dazedly,1,1,9.135472998533363
deciphering,1,1,9.135472998533363
delinquents,1,1,9.135472998533363
desorption,2,2,9.135472998533363
deusen,1,1,9.135472998533363
divvy,1,1,9.135472998533363
djk,1,1,9.135472998533363
dryly,1,1,9.135472998533363
durring,1,1,9.135472998533363
elapse,1,1,9.135472998533363
eludes,1,1,9.135472998533363
eng,1,1,9.135472998533363
entangled,1,1,9.135472998533363
epithelialized,1,1,9.135472998533363
erode,1,1,9.135472998533363
errors/deviations,1,1,9.135472998533363
explanitory,1,1,9.135472998533363
f'ing,1,1,9.135472998533363
fanconi,1,1,9.135472998533363
fleetwood,1,1,9.135472998533363
fondly,1,1,9.135472998533363
foreseen,1,1,9.135472998533363
franca,1,1,9.135472998533363
frensix,1,1,9.135472998533363
fusillade,1,1,9.135472998533363
g.i,1,1,9.135472998533363
gfmc,1,1,9.135472998533363
goalkeeper,1,1,9.135472998533363
goo.gl/vsjhk,1,1,9.135472998533363
greatful,1,1,9.135472998533363
grinch,1,1,9.135472998533363
grossman,1,1,9.135472998533363
guerre,1,1,9.135472998533363
healthful,1,1,9.135472998533363
hezekiah,1,1,9.135472998533363
hintz,1,1,9.135472998533363
hlinking,1,1,9.135472998533363
hmph,1,1,9.135472998533363
horizons,2,2,9.135472998533363
hyperventilate,1,1,9.135472998533363
ibiza,1,1,9.135472998533363
idiotically,1,1,9.135472998533363
immemorial,1,1,9.135472998533363
inalienable,1,1,9.135472998533363
incline,1,1,9.135472998533363
infatuated,1,1,9.135472998533363
instantiates,1,1,9.135472998533363
interfered,1,1,9.135472998533363
investigatory,1,1,9.135472998533363
ionization,2,2,9.135472998533363
iris,1,1,9.135472998533363
irregularly,1,1,9.135472998533363
itinerant,2,2,9.135472998533363
jah,1,1,9.135472998533363
jannesen,1,1,9.135472998533363
jog,1,1,9.135472998533363
jovially,1,1,9.135472998533363
khanacademy.org,1,1,9.135472998533363
kiki,1,1,9.135472998533363
lacandon,1,1,9.135472998533363
lector,1,1,9.135472998533363
leftwhen,1,1,9.135472998533363
leyba,1,1,9.135472998533363
lifes,1,1,9.135472998533363
likei,1,1,9.135472998533363
lingua,1,1,9.135472998533363
lubricated,1,1,9.135472998533363
madisonian,1,1,9.135472998533363
malaina,1,1,9.135472998533363
marquel,1,1,9.135472998533363
maser,1,1,9.135472998533363
maslin,1,1,9.135472998533363
matty,1,1,9.135472998533363
maximizing,1,1,9.135472998533363
mercodia,1,1,9.135472998533363
microscope,1,1,9.135472998533363
milli,1,1,9.135472998533363
modulated,1,1,9.135472998533363
monotony,2,2,9.135472998533363
moochers,1,1,9.135472998533363
n'orleans,1,1,9.135472998533363
nemours,1,1,9.135472998533363
nervier,1,1,9.135472998533363
networksand,1,1,9.135472998533363
nevill,1,1,9.135472998533363
newsweek,2,2,9.135472998533363
nh,2,2,9.135472998533363
nickelsberg,2,2,9.135472998533363
nicu,1,1,9.135472998533363
notifying,1,1,9.135472998533363
nyse,1,1,9.135472998533363
ongoingly,1,1,9.135472998533363
oo'da,1,1,9.135472998533363
oof,1,1,9.135472998533363
outhouses,1,1,9.135472998533363
paired,1,1,9.135472998533363
peopled,1,1,9.135472998533363
permeates,1,1,9.135472998533363
philips,1,1,9.135472998533363
phoenicians,1,1,9.135472998533363
picosecond,1,1,9.135472998533363
plano,1,1,9.135472998533363
polo,1,1,9.135472998533363
propagate,1,1,9.135472998533363
proportionality,1,1,9.135472998533363
ramsey,1,1,9.135472998533363
rc,1,1,9.135472998533363
recirculated,1,1,9.135472998533363
referrals,1,1,9.135472998533363
reflector,1,1,9.135472998533363
regimens,1,1,9.135472998533363
reverted,1,1,9.135472998533363
rhett,1,1,9.135472998533363
roentgen,1,1,9.135472998533363
runaways,1,1,9.135472998533363
rutiles,1,1,9.135472998533363
sarif,1,1,9.135472998533363
schaffner,1,1,9.135472998533363
screeched,1,1,9.135472998533363
seclusion,1,1,9.135472998533363
sega,2,2,9.135472998533363
seizes,1,1,9.135472998533363
sensibilities,1,1,9.135472998533363
shelved,1,1,9.135472998533363
sheperd,1,1,9.135472998533363
sickos,1,1,9.135472998533363
sitdown,1,1,9.135472998533363
sorensen,1,1,9.135472998533363
spatially,1,1,9.135472998533363
squirming,1,1,9.135472998533363
staging,1,1,9.135472998533363
stalwart,1,1,9.135472998533363
sten,1,1,9.135472998533363
steubenville,1,1,9.135472998533363
stinker,1,1,9.135472998533363
stoned,1,1,9.135472998533363
submultiples,1,1,9.135472998533363
sungs,1,1,9.135472998533363
sweltering,1,1,9.135472998533363
swiveling,1,1,9.135472998533363
talkative,1,1,9.135472998533363
tate,1,1,9.135472998533363
taxicab,1,1,9.135472998533363
taxicabs,1,1,9.135472998533363
thrice,1,1,9.135472998533363
