variable,ChatGPT,Published,Student,r.squared,p.value,direction
f_42_adverbs,-0.9730726299224575,0.23490359464156685,0.7381690352808911,0.5173724302766735,1.0384865154950196e-47,human
f_45_conjuncts,-0.7457066042189835,0.6156040651401554,0.13010253907882863,0.3183857442366727,1.9076194942756787e-25,human
f_52_modal_possibility,-0.7088298703375059,0.04485113550245877,0.6639787348350474,0.3161602574420367,3.095416138899495e-25,human
f_09_pronoun_it,-0.5644583737439026,0.03843758681372244,0.5260207869301811,0.19959484015127552,4.3804339008829935e-15,human
f_56_verb_private,-0.5569353313888247,0.044516950704822665,0.5124183806840035,0.1922178324789482,1.7107944616021415e-14,human
f_63_split_auxiliary,-0.562442439759644,0.3719792299994702,0.1904632097601752,0.1642094581491393,2.7006708000957055e-12,human
f_21_that_verb_comp,-0.4772184951876054,0.475210822071162,0.0020076731164434983,0.1516945980983326,2.4547458394712928e-11,human
f_39_prepositions,-0.46039099986801113,0.33682293417084436,0.12356806569718469,0.11393934066992213,1.57878501571993e-8,human
f_57_verb_suasive,-0.4534022628960023,0.1178045583609453,0.3355977045350567,0.11106265727726956,2.5548526403357427e-8,human
f_55_verb_public,-0.46810961397501627,0.23051040951408688,0.23759920446092936,0.10993814098684236,3.0824665082718454e-8,human
f_44_mean_word_length,1.1372778696455585,-0.12926297131650918,-1.0080148983290467,0.7779946166529863,8.609552749385391e-98,machine
f_54_modal_predictive,1.2249682399907307,-0.7170119706876905,-0.5079562693030379,0.7600912798059161,8.646414382724985e-93,machine
f_15_gerunds,1.110643651359291,-0.5556845982528881,-0.5549590531064016,0.6188275062424511,6.259659184886389e-63,machine
f_38_other_adv_sub,0.9357163310650356,-0.6989480424847112,-0.2367682885803273,0.4749674383920648,2.8032149909295527e-42,machine
f_51_demonstratives,0.8834414168861283,-0.6951743476872709,-0.18826706919885833,0.4345085619053247,1.7189609908436051e-37,machine
f_14_nominalizations,0.7149843024161356,-0.0034314533424714935,-0.7115528490736639,0.34030828916333794,1.4864233757269204e-27,machine
f_64_phrasal_coordination,0.6522488182988436,-0.20484696169584649,-0.44740185660299614,0.22326395317059095,5.0770199361010376e-17,machine
